Employee No.,Gender,Education,Education Field,Job Role,Department,Age group,Work Location,Attrition,Attrition Date,Attrition Label,Dynamic Date,Age,Attrition,Avg. Satisfaction Score,Employee Count,Environment Satisfaction,Attrition Count,Job Involvement,Job Satisfaction,Monthly Income,Percent Salary Hike,Performance Rating,Placeholder,Relationship Satisfaction,Work Life Balance
E_31,Male,High School,Medical,Research Scientist,R & D,25-34,Banglore,Yes,4/1/2022,Attrited Employees,4/1/2022,34,1,2.4,1,2,1,3,1,2960,11,3,0,3,3
E_32,Female,Bachelor's Degree,Other,Manager,R & D,45-55,Pune,No,,Current Employees,,53,0,3,1,3,,3,3,19094,11,3,0,4,2
E_33,Female,High School,Life Sciences,Research Scientist,R & D,25-34,Noida,Yes,10/13/2021,Attrited Employees,10/1/2021,32,1,1.8,1,2,1,1,1,3919,22,4,0,2,3
E_35,Male,Master's Degree,Marketing,Sales Executive,Sales,35-44,Pune,No,,Current Employees,,42,0,3,1,3,,3,2,6825,11,3,0,4,3
E_36,Female,Master's Degree,Medical,Healthcare Representative,R & D,35-44,Mumbai,No,,Current Employees,,44,0,2.8,1,1,,2,4,10248,14,3,0,4,3
E_38,Female,Master's Degree,Marketing,Manager,Sales,45-55,Delhi,No,,Current Employees,,46,0,2.4,1,2,,3,1,18947,12,3,0,4,2
E_39,Male,Bachelor's Degree,Medical,Laboratory Technician,R & D,25-34,Banglore,No,,Current Employees,,33,0,3.4,1,3,,3,4,2496,11,3,0,4,3
E_40,Male,Master's Degree,Other,Healthcare Representative,R & D,35-44,Hydrabad,No,,Current Employees,,44,0,3.8,1,4,,3,4,6465,13,3,0,4,4
E_41,Male,Associates Degree,Medical,Laboratory Technician,R & D,25-34,Hydrabad,No,,Current Employees,,30,0,2.6,1,4,,2,3,2206,13,3,0,1,3
E_42,Male,Bachelor's Degree,Technical Degree,Sales Representative,Sales,35-44,Pune,Yes,2/22/2022,Attrited Employees,2/1/2022,39,1,3.6,1,4,1,3,4,2086,14,3,0,3,4
E_45,Male,Bachelor's Degree,Medical,Research Scientist,R & D,< 25,Mumbai,Yes,5/6/2022,Attrited Employees,5/1/2022,24,1,2.4,1,2,1,3,4,2293,16,3,0,1,2
E_46,Female,Associates Degree,Medical,Research Scientist,R & D,35-44,Delhi,No,,Current Employees,,43,0,3.4,1,4,,4,3,2645,12,3,0,4,2
E_47,Male,Associates Degree,Marketing,Sales Representative,Sales,45-55,Banglore,Yes,4/16/2022,Attrited Employees,4/1/2022,50,1,2.4,1,1,1,2,3,2683,14,3,0,3,3
E_49,Female,Bachelor's Degree,Marketing,Sales Representative,Sales,35-44,Noida,No,,Current Employees,,35,0,3,1,4,,3,4,2014,13,3,0,1,3
E_51,Female,Master's Degree,Life Sciences,Research Scientist,R & D,35-44,Pune,No,,Current Employees,,36,0,2.6,1,2,,2,1,3419,14,3,0,4,4
E_52,Female,Bachelor's Degree,Life Sciences,Sales Executive,Sales,25-34,Mumbai,No,,Current Employees,,33,0,2.4,1,3,,4,1,5376,19,3,0,1,3
E_53,Male,Associates Degree,Other,Laboratory Technician,R & D,35-44,Delhi,No,,Current Employees,,35,0,3.2,1,3,,3,4,1951,12,3,0,3,3
E_54,Female,Master's Degree,Life Sciences,Laboratory Technician,R & D,25-34,Hydrabad,No,,Current Employees,,27,0,3,1,4,,3,1,2341,13,3,0,4,3
E_55,Male,Bachelor's Degree,Life Sciences,Laboratory Technician,R & D,25-34,Banglore,Yes,6/22/2021,Attrited Employees,6/1/2021,26,1,2,1,1,1,1,3,2293,12,3,0,3,2
E_56,Male,Bachelor's Degree,Life Sciences,Sales Executive,Sales,25-34,Hydrabad,No,,Current Employees,,27,0,3.4,1,4,,3,3,8726,15,3,0,4,3
E_57,Female,Associates Degree,Medical,Laboratory Technician,R & D,25-34,Noida,No,,Current Employees,,30,0,3.4,1,3,,3,4,4011,23,4,0,4,3
E_58,Female,Bachelor's Degree,Technical Degree,Research Director,R & D,35-44,Pune,Yes,11/2/2021,Attrited Employees,11/1/2021,41,1,3,1,2,1,3,3,19545,12,3,0,4,3
E_60,Male,Master's Degree,Marketing,Sales Executive,Sales,25-34,Mumbai,No,,Current Employees,,34,0,2.8,1,2,,3,3,4568,20,4,0,3,3
E_61,Male,Associates Degree,Life Sciences,Research Scientist,R & D,35-44,Delhi,No,,Current Employees,,37,0,2.2,1,2,,3,2,3022,21,4,0,1,3
E_62,Male,Master's Degree,Marketing,Sales Executive,Sales,45-55,Banglore,No,,Current Employees,,46,0,2.8,1,1,,3,4,5772,21,4,0,3,3
E_63,Male,High School,Life Sciences,Laboratory Technician,R & D,35-44,Hydrabad,No,,Current Employees,,35,0,3.8,1,4,,4,4,2269,19,3,0,4,3
E_64,Male,Associates Degree,Life Sciences,Laboratory Technician,R & D,45-55,Noida,Yes,4/30/2022,Attrited Employees,4/1/2022,48,1,2.6,1,1,1,2,3,5381,13,3,0,4,3
E_65,Male,Master's Degree,Technical Degree,Laboratory Technician,R & D,25-34,Pune,Yes,2/22/2022,Attrited Employees,2/1/2022,28,1,2.8,1,3,1,3,3,3441,13,3,0,3,2
E_68,Female,Doctoral Degree,Marketing,Sales Executive,Sales,35-44,Mumbai,No,,Current Employees,,44,0,2.2,1,2,,3,1,5454,21,4,0,3,2
E_70,Male,Associates Degree,Medical,Healthcare Representative,R & D,35-44,Delhi,No,,Current Employees,,35,0,2.4,1,3,,2,1,9884,13,3,0,3,3
E_72,Female,Bachelor's Degree,Marketing,Sales Executive,Sales,25-34,Banglore,No,,Current Employees,,26,0,2.8,1,3,,2,4,4157,19,3,0,3,2
E_73,Female,Associates Degree,Life Sciences,Research Director,R & D,25-34,Hydrabad,No,,Current Employees,,33,0,2.8,1,1,,3,4,13458,12,3,0,3,3
E_74,Male,Doctoral Degree,Life Sciences,Sales Executive,Sales,35-44,Noida,No,,Current Employees,,35,0,2.4,1,2,,3,1,9069,22,4,0,4,2
E_75,Female,Master's Degree,Medical,Laboratory Technician,R & D,35-44,Pune,No,,Current Employees,,35,0,2.6,1,3,,3,1,4014,15,3,0,3,3
E_76,Male,Master's Degree,Life Sciences,Laboratory Technician,R & D,25-34,Mumbai,No,,Current Employees,,31,0,3.4,1,4,,3,4,5915,22,4,0,4,2
E_77,Male,Master's Degree,Life Sciences,Manufacturing Director,R & D,35-44,Delhi,No,,Current Employees,,37,0,2.6,1,1,,2,3,5993,18,3,0,3,4
E_78,Male,Bachelor's Degree,Medical,Manufacturing Director,R & D,25-34,Banglore,No,,Current Employees,,32,0,2.6,1,1,,3,4,6162,22,4,0,2,3
E_79,Female,Doctoral Degree,Life Sciences,Laboratory Technician,R & D,35-44,Hydrabad,No,,Current Employees,,38,0,3.6,1,4,,3,4,2406,11,3,0,4,3
E_80,Female,Associates Degree,Medical,Research Director,R & D,45-55,Noida,No,,Current Employees,,50,0,2.6,1,2,,2,3,18740,12,3,0,4,2
E_81,Female,Bachelor's Degree,Life Sciences,Sales Executive,Sales,> 55,Pune,No,,Current Employees,,59,0,2.2,1,1,,3,1,7637,11,3,0,4,2
E_83,Female,Bachelor's Degree,Technical Degree,Healthcare Representative,R & D,35-44,Mumbai,No,,Current Employees,,36,0,2.8,1,3,,3,3,10096,13,3,0,2,3
E_84,Female,Bachelor's Degree,Medical,Manager,R & D,45-55,Delhi,No,,Current Employees,,55,0,3.2,1,4,,3,3,14756,14,3,0,3,3
E_85,Male,Bachelor's Degree,Life Sciences,Manufacturing Director,R & D,35-44,Banglore,No,,Current Employees,,36,0,2.4,1,2,,2,2,6499,13,3,0,3,3
E_86,Male,Bachelor's Degree,Life Sciences,Research Scientist,R & D,45-55,Hydrabad,No,,Current Employees,,45,0,2.4,1,2,,3,1,9724,17,3,0,3,3
E_88,Male,Bachelor's Degree,Medical,Research Scientist,R & D,35-44,Noida,No,,Current Employees,,35,0,2.4,1,2,,3,1,2194,13,3,0,4,2
E_90,Male,Bachelor's Degree,Medical,Research Scientist,R & D,35-44,Pune,Yes,3/11/2022,Attrited Employees,3/1/2022,36,1,2.4,1,4,1,2,3,3388,17,3,0,1,2
E_91,Female,High School,Life Sciences,Sales Executive,Sales,> 55,Mumbai,No,,Current Employees,,59,0,2.4,1,1,,2,3,5473,11,3,0,4,2
E_94,Male,Bachelor's Degree,Life Sciences,Research Scientist,R & D,25-34,Delhi,No,,Current Employees,,29,0,3,1,3,,3,2,2703,23,4,0,4,3
E_95,Male,Master's Degree,Medical,Research Scientist,R & D,25-34,Banglore,No,,Current Employees,,31,0,2.6,1,3,,3,2,2501,17,3,0,2,3
E_96,Male,Bachelor's Degree,Life Sciences,Research Scientist,R & D,25-34,Hydrabad,No,,Current Employees,,32,0,2.4,1,2,,3,2,6220,17,3,0,2,3
E_97,Female,Bachelor's Degree,Life Sciences,Laboratory Technician,R & D,35-44,Noida,No,,Current Employees,,36,0,3,1,2,,4,4,3038,12,3,0,2,3
E_98,Female,Master's Degree,Life Sciences,Manufacturing Director,R & D,25-34,Pune,No,,Current Employees,,31,0,3.4,1,3,,3,4,4424,23,4,0,4,3
E_100,Male,Master's Degree,Marketing,Sales Executive,Sales,35-44,Mumbai,No,,Current Employees,,35,0,2.2,1,3,,2,1,4312,14,3,0,2,3
E_101,Male,Master's Degree,Other,Research Director,R & D,45-55,Delhi,No,,Current Employees,,45,0,2.8,1,4,,3,1,13245,14,3,0,2,4
E_102,Male,Master's Degree,Medical,Research Director,R & D,35-44,Banglore,No,,Current Employees,,37,0,2.4,1,1,,3,3,13664,13,3,0,1,4
E_103,Male,Associates Degree,Medical,Human Resources,HR,45-55,Hydrabad,No,,Current Employees,,46,0,2.8,1,2,,3,2,5021,22,4,0,4,3
E_104,Male,High School,Life Sciences,Laboratory Technician,R & D,25-34,Noida,No,,Current Employees,,30,0,3,1,4,,2,4,5126,12,3,0,3,2
E_105,Male,Bachelor's Degree,Medical,Research Scientist,R & D,35-44,Pune,No,,Current Employees,,35,0,2.2,1,2,,2,3,2859,18,3,0,1,3
E_106,Male,Associates Degree,Life Sciences,Sales Executive,Sales,45-55,Mumbai,No,,Current Employees,,55,0,3,1,1,,3,4,10239,14,3,0,4,3
E_107,Female,Bachelor's Degree,Medical,Research Scientist,R & D,35-44,Delhi,No,,Current Employees,,38,0,2.8,1,2,,1,4,5329,12,3,0,4,3
E_110,Male,Associates Degree,Medical,Manufacturing Director,R & D,25-34,Banglore,No,,Current Employees,,34,0,2.4,1,1,,3,2,4325,15,3,0,3,3
E_112,Male,Bachelor's Degree,Life Sciences,Manufacturing Director,R & D,> 55,Hydrabad,No,,Current Employees,,56,0,2.4,1,4,,1,4,7260,11,3,0,1,2
E_113,Male,High School,Technical Degree,Sales Representative,Sales,< 25,Noida,No,,Current Employees,,23,0,2.6,1,3,,3,1,2322,13,3,0,3,3
E_116,Male,Master's Degree,Life Sciences,Laboratory Technician,R & D,45-55,Pune,No,,Current Employees,,51,0,3.2,1,4,,3,4,2075,23,4,0,2,3
E_117,Male,Bachelor's Degree,Life Sciences,Healthcare Representative,R & D,25-34,Mumbai,No,,Current Employees,,30,0,2.6,1,3,,2,4,4152,19,3,0,1,3
E_118,Male,Associates Degree,Medical,Sales Executive,Sales,45-55,Delhi,Yes,3/11/2022,Attrited Employees,3/1/2022,46,1,3.2,1,3,1,2,4,9619,16,3,0,4,3
E_119,Male,Master's Degree,Life Sciences,Healthcare Representative,R & D,35-44,Banglore,No,,Current Employees,,40,0,2.6,1,3,,2,2,13503,22,4,0,4,2
E_120,Male,Master's Degree,Marketing,Sales Executive,Sales,45-55,Hydrabad,No,,Current Employees,,51,0,3,1,3,,3,4,5441,22,4,0,4,1
E_121,Female,Associates Degree,Medical,Sales Executive,Sales,25-34,Noida,No,,Current Employees,,30,0,2.2,1,3,,2,2,5209,12,3,0,2,2
E_124,Male,Bachelor's Degree,Medical,Healthcare Representative,R & D,45-55,Pune,No,,Current Employees,,46,0,2.2,1,3,,2,1,10673,13,3,0,3,2
E_125,Male,Master's Degree,Medical,Sales Executive,Sales,25-34,Mumbai,No,,Current Employees,,32,0,2.4,1,2,,3,3,5010,16,3,0,1,3
E_126,Female,Master's Degree,Technical Degree,Research Director,R & D,45-55,Delhi,No,,Current Employees,,54,0,1.8,1,1,,3,3,13549,12,3,0,1,1
E_128,Female,Associates Degree,Other,Sales Executive,Sales,< 25,Banglore,No,,Current Employees,,24,0,2,1,1,,3,3,4999,21,4,0,1,2
E_129,Male,Bachelor's Degree,Medical,Sales Executive,Sales,25-34,Hydrabad,No,,Current Employees,,28,0,2.8,1,2,,3,3,4221,15,3,0,2,4
E_131,Male,Master's Degree,Medical,Sales Executive,Sales,> 55,Noida,No,,Current Employees,,58,0,3,1,4,,3,3,13872,13,3,0,3,2
E_132,Male,Bachelor's Degree,Medical,Laboratory Technician,R & D,35-44,Pune,No,,Current Employees,,44,0,2.8,1,2,,3,2,2042,12,3,0,3,4
E_133,Male,Master's Degree,Human Resources,Human Resources,HR,35-44,Mumbai,Yes,2/12/2022,Attrited Employees,2/1/2022,37,1,2.8,1,3,1,3,1,2073,22,4,0,4,3
E_134,Male,High School,Life Sciences,Research Scientist,R & D,25-34,Delhi,No,,Current Employees,,32,0,3,1,4,,3,1,2956,13,3,0,4,3
E_137,Female,Bachelor's Degree,Life Sciences,Laboratory Technician,R & D,< 25,Banglore,Yes,2/20/2022,Attrited Employees,2/1/2022,20,1,3,1,4,1,2,4,2926,18,3,0,2,3
E_138,Female,Master's Degree,Other,Research Scientist,R & D,25-34,Hydrabad,No,,Current Employees,,34,0,2.6,1,1,,3,3,4809,14,3,0,3,3
E_139,Male,Associates Degree,Life Sciences,Healthcare Representative,R & D,35-44,Noida,No,,Current Employees,,37,0,3.4,1,3,,2,4,5163,14,3,0,4,4
E_140,Female,Master's Degree,Human Resources,Manager,HR,> 55,Pune,No,,Current Employees,,59,0,3.2,1,3,,2,4,18844,21,4,0,4,3
E_141,Female,Bachelor's Degree,Life Sciences,Research Director,R & D,45-55,Mumbai,No,,Current Employees,,50,0,1.8,1,1,,3,2,18172,19,3,0,1,2
E_142,Male,Bachelor's Degree,Marketing,Sales Executive,Sales,25-34,Delhi,Yes,3/29/2022,Attrited Employees,3/1/2022,25,1,3,1,3,1,2,3,5744,11,3,0,4,3
E_143,Male,High School,Medical,Research Scientist,R & D,25-34,Banglore,No,,Current Employees,,25,0,3.2,1,4,,2,4,2889,11,3,0,3,3
E_144,Female,Bachelor's Degree,Medical,Laboratory Technician,R & D,< 25,Hydrabad,No,,Current Employees,,22,0,3,1,2,,3,4,2871,15,3,0,3,3
E_145,Female,Master's Degree,Medical,Healthcare Representative,R & D,45-55,Noida,No,,Current Employees,,51,0,1.8,1,1,,2,1,7484,20,4,0,3,2
E_147,Male,Bachelor's Degree,Life Sciences,Laboratory Technician,R & D,25-34,Pune,Yes,2/7/2022,Attrited Employees,2/1/2022,34,1,2.4,1,1,1,1,3,6074,24,4,0,4,3
E_148,Female,Bachelor's Degree,Human Resources,Manager,HR,45-55,Mumbai,No,,Current Employees,,54,0,3.6,1,4,,4,4,17328,12,3,0,3,3
E_150,Male,High School,Life Sciences,Laboratory Technician,R & D,< 25,Banglore,No,,Current Employees,,24,0,2.8,1,2,,3,3,2774,12,3,0,3,3
E_151,Female,Master's Degree,Life Sciences,Research Scientist,R & D,25-34,Banglore,No,,Current Employees,,34,0,2.6,1,3,,2,2,4505,15,3,0,3,3
E_152,Male,Bachelor's Degree,Life Sciences,Sales Executive,Sales,35-44,Banglore,No,,Current Employees,,37,0,2.8,1,3,,3,4,7428,12,3,0,1,3
E_153,Female,Bachelor's Degree,Medical,Manager,R & D,25-34,Banglore,No,,Current Employees,,34,0,2.6,1,3,,2,1,11631,12,3,0,4,3
E_154,Female,Associates Degree,Technical Degree,Sales Executive,Sales,35-44,Banglore,No,,Current Employees,,36,0,3,1,2,,3,4,9738,14,3,0,3,3
E_155,Female,Associates Degree,Life Sciences,Laboratory Technician,R & D,35-44,Mumbai,No,,Current Employees,,36,0,2.4,1,1,,3,4,2835,22,4,0,1,3
E_158,Male,Associates Degree,Life Sciences,Manager,Sales,35-44,Delhi,No,,Current Employees,,43,0,3.6,1,3,,3,4,16959,12,3,0,4,4
E_159,Male,Bachelor's Degree,Life Sciences,Research Scientist,R & D,25-34,Banglore,No,,Current Employees,,30,0,2,1,1,,1,3,2613,25,4,0,3,2
E_160,Male,Associates Degree,Marketing,Sales Executive,Sales,25-34,Hydrabad,No,,Current Employees,,33,0,2.6,1,3,,3,2,6146,13,3,0,1,4
E_161,Female,Master's Degree,Life Sciences,Research Scientist,R & D,> 55,Noida,Yes,11/12/2021,Attrited Employees,11/1/2021,56,1,2.2,1,2,1,3,2,4963,18,3,0,1,3
E_162,Male,Bachelor's Degree,Life Sciences,Research Director,R & D,45-55,Pune,No,,Current Employees,,51,0,2.6,1,1,,3,3,19537,13,3,0,3,3
E_163,Male,Master's Degree,Life Sciences,Sales Executive,Sales,25-34,Mumbai,Yes,2/24/2022,Attrited Employees,2/1/2022,31,1,2,1,2,1,1,3,6172,18,3,0,2,2
E_164,Female,Bachelor's Degree,Other,Research Scientist,R & D,25-34,Delhi,No,,Current Employees,,26,0,2.4,1,3,,2,2,2368,19,3,0,3,2
E_165,Female,Master's Degree,Medical,Healthcare Representative,R & D,> 55,Banglore,Yes,12/3/2021,Attrited Employees,12/1/2021,58,1,3.4,1,4,1,3,4,10312,12,3,0,4,2
E_167,Male,High School,Marketing,Sales Representative,Sales,< 25,Hydrabad,Yes,10/27/2021,Attrited Employees,10/1/2021,19,1,3.2,1,4,1,3,3,1675,19,3,0,4,2
E_169,Male,High School,Technical Degree,Laboratory Technician,R & D,< 25,Noida,No,,Current Employees,,22,0,3.2,1,3,,3,4,2523,14,3,0,3,3
E_170,Female,Master's Degree,Medical,Manufacturing Director,R & D,45-55,Pune,No,,Current Employees,,49,0,2.4,1,3,,3,1,6567,14,3,0,3,2
E_171,Female,Bachelor's Degree,Medical,Research Scientist,R & D,35-44,Mumbai,No,,Current Employees,,43,0,3.2,1,2,,4,3,4739,12,3,0,4,3
E_174,Female,Bachelor's Degree,Marketing,Sales Executive,Sales,45-55,Delhi,No,,Current Employees,,50,0,3.4,1,3,,3,4,9208,11,3,0,4,3
E_175,Female,Bachelor's Degree,Life Sciences,Sales Executive,Sales,25-34,Banglore,Yes,8/26/2021,Attrited Employees,8/1/2021,31,1,2.4,1,2,1,1,3,4559,11,3,0,3,3
E_176,Male,High School,Life Sciences,Sales Executive,Sales,35-44,Hydrabad,No,,Current Employees,,41,0,3,1,3,,3,3,8189,13,3,0,3,3
E_177,Female,High School,Life Sciences,Human Resources,HR,25-34,Noida,No,,Current Employees,,26,0,3.2,1,3,,3,3,2942,23,4,0,4,3
E_178,Male,Associates Degree,Medical,Manufacturing Director,R & D,35-44,Pune,No,,Current Employees,,36,0,2.8,1,2,,3,2,4941,20,4,0,4,3
E_179,Male,Master's Degree,Life Sciences,Manufacturing Director,R & D,45-55,Mumbai,Yes,1/25/2022,Attrited Employees,1/1/2022,51,1,2.6,1,1,1,1,4,10650,15,3,0,4,3
E_182,Female,Master's Degree,Life Sciences,Sales Executive,Sales,35-44,Delhi,No,,Current Employees,,39,0,3.2,1,4,,2,3,5902,14,3,0,3,4
E_183,Male,Bachelor's Degree,Life Sciences,Sales Executive,Sales,25-34,Banglore,No,,Current Employees,,25,0,2.6,1,1,,2,3,8639,18,3,0,4,3
E_184,Male,Bachelor's Degree,Human Resources,Human Resources,HR,25-34,Hydrabad,No,,Current Employees,,30,0,3,1,3,,3,4,6347,19,3,0,4,1
E_190,Female,Bachelor's Degree,Medical,Laboratory Technician,R & D,25-34,Noida,Yes,3/11/2022,Attrited Employees,3/1/2022,32,1,2,1,1,1,3,1,4200,22,4,0,1,4
E_192,Male,Bachelor's Degree,Medical,Research Scientist,R & D,45-55,Pune,No,,Current Employees,,45,0,2.8,1,3,,3,4,3452,13,3,0,2,2
E_193,Female,Doctoral Degree,Technical Degree,Research Scientist,R & D,35-44,Mumbai,No,,Current Employees,,38,0,3,1,4,,3,3,4317,20,4,0,2,3
E_194,Female,Bachelor's Degree,Life Sciences,Research Scientist,R & D,25-34,Delhi,No,,Current Employees,,30,0,2.4,1,1,,3,3,2632,14,3,0,3,2
E_195,Male,Associates Degree,Medical,Sales Executive,Sales,25-34,Banglore,No,,Current Employees,,32,0,3.4,1,4,,1,4,4668,17,3,0,4,4
E_197,Female,Bachelor's Degree,Technical Degree,Research Scientist,R & D,25-34,Hydrabad,No,,Current Employees,,30,0,3,1,4,,3,1,3204,14,3,0,4,3
E_198,Male,High School,Medical,Laboratory Technician,R & D,25-34,Noida,No,,Current Employees,,30,0,3,1,2,,2,4,2720,13,3,0,4,3
E_199,Male,Bachelor's Degree,Life Sciences,Manager,R & D,35-44,Pune,No,,Current Employees,,41,0,2.2,1,4,,2,1,17181,13,3,0,2,2
E_200,Male,Master's Degree,Life Sciences,Laboratory Technician,R & D,35-44,Mumbai,No,,Current Employees,,41,0,2.8,1,3,,3,1,2238,21,4,0,4,3
E_201,Female,High School,Medical,Laboratory Technician,R & D,< 25,Delhi,No,,Current Employees,,19,0,2.8,1,2,,3,2,1483,14,3,0,4,3
E_202,Female,Bachelor's Degree,Medical,Research Scientist,R & D,35-44,Banglore,No,,Current Employees,,40,0,2.2,1,2,,3,2,5605,11,3,0,1,3
E_204,Male,Doctoral Degree,Marketing,Sales Executive,Sales,35-44,Hydrabad,No,,Current Employees,,35,0,2.4,1,3,,3,2,7295,13,3,0,1,3
E_205,Male,Associates Degree,Marketing,Sales Representative,Sales,45-55,Noida,No,,Current Employees,,53,0,2.6,1,2,,3,3,2306,20,4,0,4,1
E_206,Male,Bachelor's Degree,Life Sciences,Laboratory Technician,R & D,45-55,Pune,No,,Current Employees,,45,0,2.2,1,2,,3,2,2348,18,3,0,3,1
E_207,Female,Bachelor's Degree,Marketing,Sales Executive,Sales,25-34,Mumbai,No,,Current Employees,,32,0,3.2,1,2,,3,4,8998,14,3,0,4,3
E_208,Male,High School,Technical Degree,Manufacturing Director,R & D,25-34,Delhi,No,,Current Employees,,29,0,2.8,1,4,,3,3,4319,13,3,0,1,3
E_211,Male,Master's Degree,Medical,Manufacturing Director,R & D,45-55,Banglore,No,,Current Employees,,51,0,2.6,1,2,,2,3,6132,17,3,0,3,3
E_214,Female,Bachelor's Degree,Medical,Research Scientist,R & D,> 55,Hydrabad,No,,Current Employees,,58,0,2,1,2,,2,2,3346,20,4,0,2,2
E_215,Male,Master's Degree,Marketing,Sales Executive,Sales,35-44,Noida,No,,Current Employees,,40,0,2.4,1,3,,2,4,10855,11,3,0,1,2
E_216,Female,Master's Degree,Marketing,Sales Representative,Sales,25-34,Banglore,No,,Current Employees,,34,0,3.2,1,3,,3,3,2231,18,3,0,4,3
E_217,Male,High School,Medical,Research Scientist,R & D,< 25,Banglore,No,,Current Employees,,22,0,2.8,1,3,,3,4,2323,24,4,0,1,3
E_218,Male,Bachelor's Degree,Medical,Research Scientist,R & D,25-34,Banglore,No,,Current Employees,,27,0,2.8,1,4,,3,2,2024,18,3,0,4,1
E_221,Male,Bachelor's Degree,Medical,Research Scientist,R & D,25-34,Banglore,No,,Current Employees,,28,0,2.8,1,3,,3,4,2713,11,3,0,3,1
E_223,Male,Associates Degree,Life Sciences,Healthcare Representative,R & D,> 55,Banglore,No,,Current Employees,,57,0,2.8,1,3,,4,4,9439,16,3,0,2,1
